,dose1_date,city,dose1_all,dose1_all_c,pop_all,dose1_all_c_prcent
127,2020-12-14,San Fernando,0,0,20965,0
128,2020-12-14,San Francisquito Canyon/Bouquet Canyon,0,0,154,0
129,2020-12-14,San Gabriel,0,0,36321,0
130,2020-12-14,San Jose Hills,0,0,16912,0
131,2020-12-14,San Marino,0,0,12278,0
132,2020-12-14,San Pasqual,0,0,1737,0
133,2020-12-14,Sand Canyon,0,0,293,0
134,2020-12-14,Santa Catalina Island,0,0,256,0
135,2020-12-14,Santa Clarita,0,0,188565,0
136,2020-12-14,Santa Fe Springs,0,0,15903,0
137,2020-12-14,Santa Monica,0,0,84349,0
138,2020-12-14,Santa Monica Mountains,0,0,17015,0
139,2020-12-14,Saugus/Canyon Country,0,0,344,0
140,2020-12-14,Sierra Madre,0,0,10002,0
141,2020-12-14,Signal Hill,0,0,9907,0
142,2020-12-14,South Antelope Valley,0,0,432,0
143,2020-12-14,South El Monte,0,0,19249,0
144,2020-12-14,South Gate,0,0,80283,0
145,2020-12-14,South Pasadena,0,0,23381,0
146,2020-12-14,South San Gabriel,0,0,7942,0
147,2020-12-14,South Whittier,0,0,50584,0
148,2020-12-14,Southeast Antelope Valley,0,0,663,0
149,2020-12-14,Stevenson Ranch,0,0,18736,0
150,2020-12-14,Sun Village,0,0,5041,0
151,2020-12-14,Sunrise Village,0,0,1120,0
152,2020-12-14,Temple City,0,0,33037,0
153,2020-12-14,Torrance,0,0,131421,0
154,2020-12-14,Twin Lakes/Oat Mountain,0,0,1460,0
155,2020-12-14,Val Verde,0,0,2907,0
156,2020-12-14,Valencia,0,0,2573,0
157,2020-12-14,Valinda,0,0,19756,0
158,2020-12-14,View Park/Windsor Hills,0,0,10571,0
159,2020-12-14,Walnut,0,0,28130,0
160,2020-12-14,Walnut Park,0,0,13438,0
161,2020-12-14,West Antelope Valley,0,0,1414,0
162,2020-12-14,West Carson,0,0,19327,0
163,2020-12-14,West Covina,0,0,93958,0
164,2020-12-14,West Hollywood,0,0,34698,0
165,2020-12-14,West LA,0,0,898,0
166,2020-12-14,West Puente Valley,0,0,8419,0
167,2020-12-14,West Rancho Dominguez,0,0,1161,0
168,2020-12-14,West Whittier/Los Nietos,0,0,23033,0
169,2020-12-14,Westfield/Academy Hills,0,0,1210,0
170,2020-12-14,Westhills,0,0,805,0
171,2020-12-14,Westlake Village,0,0,7749,0
172,2020-12-14,Westmont,0,0,35234,0
173,2020-12-14,White Fence Farms,0,0,3491,0
174,2020-12-14,Whittier,0,0,78566,0
175,2020-12-14,Willowbrook,0,0,28616,0
176,2020-12-14,Wiseburn,0,0,5152,0
177,2020-12-15,Acton,0,0,7269,0
178,2020-12-15,Agoura Hills,0,0,18920,0
179,2020-12-15,Agua Dulce,0,0,3871,0
180,2020-12-15,Alhambra,0,0,76362,0
181,2020-12-15,Altadena,0,0,38928,0
182,2020-12-15,Anaverde,0,0,1347,0
183,2020-12-15,Angeles National Forest,0,0,1136,0
184,2020-12-15,Arcadia,0,0,60474,0
185,2020-12-15,Artesia,0,0,15043,0
186,2020-12-15,Athens Village,0,0,4048,0
187,2020-12-15,Avalon,0,0,3266,0
188,2020-12-15,Avocado Heights,0,0,5780,0
189,2020-12-15,Azusa,0,0,56925,0
190,2020-12-15,Baldwin Park,0,0,65069,0
191,2020-12-15,Bassett,0,0,12572,0
192,2020-12-15,Bell,0,0,30235,0
193,2020-12-15,Bell Gardens,0,0,35056,0
194,2020-12-15,Bellflower,0,0,65994,0
195,2020-12-15,Beverly Hills,0,0,31578,0
196,2020-12-15,Bouquet Canyon,0,0,953,0
197,2020-12-15,Bradbury,0,0,979,0
198,2020-12-15,Burbank,0,0,93794,0
199,2020-12-15,Calabasas,0,0,21901,0
200,2020-12-15,Canyon Country,0,0,1676,0
201,2020-12-15,Carson,0,0,81850,0
202,2020-12-15,Castaic,0,0,24050,0
203,2020-12-15,Cerritos,0,0,47203,0
204,2020-12-15,Charter Oak,0,0,11566,0
205,2020-12-15,Claremont,0,0,34332,0
206,2020-12-15,Commerce,0,0,10917,0
207,2020-12-15,Compton,0,0,80305,0
208,2020-12-15,Covina,0,0,56881,0
209,2020-12-15,Cudahy,0,0,19865,0
210,2020-12-15,Culver City,0,0,35395,0
211,2020-12-15,Del Aire,0,0,3780,0
212,2020-12-15,Del Rey,0,0,381,0
213,2020-12-15,Del Sur,0,0,2227,0
214,2020-12-15,Desert View Highlands,0,0,2141,0
215,2020-12-15,Diamond Bar,0,0,51968,0
216,2020-12-15,Downey,1,1,97261,0
217,2020-12-15,Duarte,0,0,22893,0
218,2020-12-15,East Covina,0,0,319,0
219,2020-12-15,East La Mirada,0,0,4706,0
220,2020-12-15,East Lancaster,0,0,97,0
221,2020-12-15,East Los Angeles,0,0,102599,0
222,2020-12-15,East Pasadena,0,0,6758,0
